date,GAZP.MOEX
2006-01-24,86.2344
2006-01-25,87.9206
2006-01-26,86.4153
2006-01-27,88.0630
2006-01-30,83.1546
2006-01-31,84.3172
2006-02-01,86.2305
2006-02-02,85.2719
2006-02-03,85.0833
2006-02-06,84.8677
2006-02-07,84.8870
2006-02-08,85.0795
2006-02-09,85.4644
2006-02-10,85.4644
2006-02-13,84.6752
2006-02-14,84.6521
2006-02-15,84.6098
2006-02-16,84.6945
2006-02-17,87.1968
2006-02-20,87.8513
2006-02-21,86.6194
2006-02-22,86.7656
2006-02-26,87.5356
2006-02-27,86.7002
2006-02-28,84.2287
2006-03-01,83.9168
2006-03-02,84.3018
2006-03-03,88.1208
2006-03-06,89.3103
2006-03-07,86.1805
2006-03-09,84.3865
2006-03-10,83.5819
2006-03-13,85.9649
2006-03-14,84.8292
2006-03-15,85.1680
2006-03-16,84.9640
2006-03-17,88.2747
2006-03-20,86.9081
2006-03-21,86.3884
2006-03-22,86.6925
2006-03-23,87.1968
2006-03-24,88.5057
2006-03-27,89.1717
2006-03-28,87.9475
2006-03-29,88.0130
2006-03-30,88.6982
2006-03-31,88.6020
2006-04-03,88.7367
2006-04-04,89.1294
2006-04-05,91.8165
2006-04-06,93.6644
2006-04-07,96.3554
2006-04-10,103.4428
2006-04-11,101.0559
2006-04-12,101.9029
2006-04-13,101.4370
2006-04-14,103.1348
2006-04-17,103.7315
2006-04-18,104.5938
2006-04-19,107.1347
2006-04-20,106.2954
2006-04-21,107.8661
2006-04-24,110.4762
2006-04-25,109.7178
2006-04-26,119.0727
2006-04-27,117.3019
2006-04-28,119.4385
2006-05-02,123.3075
2006-05-03,124.4855
2006-05-04,127.9965
2006-05-05,129.4863
2006-05-06,134.8375
2006-05-10,127.7347
2006-05-11,128.9358
2006-05-12,123.8235
2006-05-15,116.7816
2006-05-16,118.7151
2006-05-17,112.9957
2006-05-18,109.6314
2006-05-19,105.7643
2006-05-22,93.0726
2006-05-23,103.2507
2006-05-24,99.9598
2006-05-25,105.3389
2006-05-26,112.6477
2006-05-29,109.2408
2006-05-30,109.3994
2006-05-31,109.4380
2006-06-01,111.3677
2006-06-02,115.5867
2006-06-05,115.1845
2006-06-06,107.3730
2006-06-07,108.4326
2006-06-08,97.2568
2006-06-09,98.8693
2006-06-13,88.1692
2006-06-14,94.3565
2006-06-15,99.7240
2006-06-16,99.8361
2006-06-19,100.5399
2006-06-20,102.0906
2006-06-21,102.0906
2006-06-22,100.2151
2006-06-23,100.5438
2006-06-26,99.7317
2006-06-27,102.9491
2006-06-28,102.9839
2006-06-29,106.5377
2006-06-30,108.9856
2006-07-03,110.4628
2006-07-04,110.9075
2006-07-05,105.6522
2006-07-06,110.2114
2006-07-07,107.4465
2006-07-10,108.2779
2006-07-11,106.1704
2006-07-12,107.1217
2006-07-13,101.1625
2006-07-14,102.4773
2006-07-17,99.8168
2006-07-18,101.6923
2006-07-19,104.8749
2006-07-20,103.7534
2006-07-21,103.2043
2006-07-24,105.1843
2006-07-25,104.3219
2006-07-26,104.7009
2006-07-27,108.5873
2006-07-28,108.1039
2006-07-31,107.4581
2006-08-01,106.5996
2006-08-02,108.4751
2006-08-03,110.1689
2006-08-04,112.5278
2006-08-07,113.8813
2006-08-08,113.7692
2006-08-09,117.8760
2006-08-10,118.3516
2006-08-11,121.2133
2006-08-14,120.6912
2006-08-15,120.8072
2006-08-16,121.0354
2006-08-17,117.8218
2006-08-18,113.0731
2006-08-21,116.0701
2006-08-22,119.0670
2006-08-23,119.5582
2006-08-24,119.1444
2006-08-25,121.1514
2006-08-28,120.3432
2006-08-29,119.8791
2006-08-30,120.7685
2006-08-31,121.2133
2006-09-01,119.5659
2006-09-04,120.3432
2006-09-05,120.1305
2006-09-06,116.8628
2006-09-07,114.0708
2006-09-08,115.2425
2006-09-11,109.9949
2006-09-12,112.1063
2006-09-13,113.6879
2006-09-14,112.9880
2006-09-15,112.8217
2006-09-18,113.6222
2006-09-19,113.9818
2006-09-20,111.3754
2006-09-21,108.5873
2006-09-22,105.1843
2006-09-25,101.3559
2006-09-26,105.9229
2006-09-27,106.9670
2006-09-28,112.0290
2006-09-29,111.3716
2006-10-02,112.1837
2006-10-03,109.1673
2006-10-04,110.6716
2006-10-05,114.3453
2006-10-06,113.3824
2006-10-09,116.0817
2006-10-10,114.0089
2006-10-11,114.2680
2006-10-12,112.3770
2006-10-13,115.3353
2006-10-16,115.1536
2006-10-17,113.6918
2006-10-18,115.8922
2006-10-19,116.0507
2006-10-20,114.9293
2006-10-23,113.5719
2006-10-24,113.3244
2006-10-25,114.5619
2006-10-26,112.7250
2006-10-27,110.6484
2006-10-30,107.2261
2006-10-31,109.1248
2006-11-01,112.5317
2006-11-02,111.3677
2006-11-03,112.5317
2006-11-07,113.2046
2006-11-08,112.0290
2006-11-09,113.2278
2006-11-10,112.9145
2006-11-13,112.5201
2006-11-14,113.5101
2006-11-15,113.6918
2006-11-16,113.5526
2006-11-17,111.4218
2006-11-20,110.4783
2006-11-21,112.6864
2006-11-22,111.3754
2006-11-23,112.0290
2006-11-24,112.2223
2006-11-27,111.6616
2006-11-28,114.1752
2006-11-29,118.1196
2006-11-30,118.1389
2006-12-01,117.3617
2006-12-04,117.9417
2006-12-05,119.1057
2006-12-06,119.3764
2006-12-07,119.0284
2006-12-08,118.2163
2006-12-11,116.6656
2006-12-12,114.8906
2006-12-13,115.1613
2006-12-14,117.2418
2006-12-15,117.8296
2006-12-18,116.8628
2006-12-19,115.8187
2006-12-20,116.5921
2006-12-21,117.9456
2006-12-22,117.4042
2006-12-25,116.2827
2006-12-26,115.8883
2006-12-27,116.6540
2006-12-28,116.9131
2006-12-29,117.1296
2007-01-09,110.8611
2007-01-10,112.8295
2007-01-11,112.9184
2007-01-12,111.1782
2007-01-15,113.7382
2007-01-16,110.9849
2007-01-17,107.9647
2007-01-18,107.8023
2007-01-19,110.3816
2007-01-22,111.7157
2007-01-23,110.4821
2007-01-24,111.2130
2007-01-25,112.2223
2007-01-26,110.9075
2007-01-29,109.6121
2007-01-30,110.3275
2007-01-31,110.2114
2007-02-01,111.3522
2007-02-02,111.7776
2007-02-05,112.1914
2007-02-06,112.4737
2007-02-07,110.7490
2007-02-08,108.3166
2007-02-09,107.6863
2007-02-12,103.9468
2007-02-13,106.2284
2007-02-14,109.0011
2007-02-15,107.8603
2007-02-16,109.2447
2007-02-19,109.6391
2007-02-20,107.7095
2007-02-21,108.3553
2007-02-22,109.0513
2007-02-26,110.1921
2007-02-27,106.8471
2007-02-28,103.4131
2007-03-01,99.2947
2007-03-02,100.8918
2007-03-05,96.6767
2007-03-06,98.0418
2007-03-07,98.2583
2007-03-09,102.4154
2007-03-12,100.9498
2007-03-13,100.6598
2007-03-14,98.1462
2007-03-15,98.7843
2007-03-16,98.4556
