date,SBER.MOEX
2006-08-04,22.8172
2006-08-07,22.5892
2006-08-08,22.4983
2006-08-09,22.9594
2006-08-10,22.9759
2006-08-11,23.4040
2006-08-14,23.5372
2006-08-15,23.6298
2006-08-16,24.2593
2006-08-17,24.4754
2006-08-18,23.5345
2006-08-21,23.7156
2006-08-22,24.1899
2006-08-23,24.3296
2006-08-24,24.0810
2006-08-25,24.4243
2006-08-28,24.2646
2006-08-29,25.3392
2006-08-30,25.7062
2006-08-31,25.2759
2006-09-01,24.8904
2006-09-04,25.6587
2006-09-05,26.5000
2006-09-06,26.1790
2006-09-07,25.5514
2006-09-08,25.0046
2006-09-11,23.8365
2006-09-12,24.0511
2006-09-13,24.1106
2006-09-14,24.2542
2006-09-15,24.0536
2006-09-18,24.2993
2006-09-19,24.7255
2006-09-20,24.4990
2006-09-21,24.5974
2006-09-22,24.1603
2006-09-25,23.5974
2006-09-26,24.4401
2006-09-27,25.0858
2006-09-28,25.7439
2006-09-29,25.5500
2006-10-02,25.7877
2006-10-03,25.0496
2006-10-04,25.3257
2006-10-05,26.5755
2006-10-06,26.1768
2006-10-09,26.7954
2006-10-10,27.3142
2006-10-11,27.0843
2006-10-12,27.2469
2006-10-13,27.4113
2006-10-16,26.9686
2006-10-17,26.2967
2006-10-18,26.6550
2006-10-19,26.8441
2006-10-20,27.0847
2006-10-23,27.4898
2006-10-24,26.5461
2006-10-25,26.8583
2006-10-26,27.0142
2006-10-27,26.7823
2006-10-30,26.1412
2006-10-31,26.6179
2006-11-01,26.9996
2006-11-02,26.7233
2006-11-03,26.9944
2006-11-07,27.6024
2006-11-08,27.6345
2006-11-09,28.2548
2006-11-10,28.2907
2006-11-13,28.3181
2006-11-14,27.9384
2006-11-15,28.3164
2006-11-16,28.8981
2006-11-17,29.2023
2006-11-20,28.6402
2006-11-21,28.9113
2006-11-22,29.0726
2006-11-23,29.0864
2006-11-24,29.1312
2006-11-27,29.0015
2006-11-28,28.7331
2006-11-29,29.1043
2006-11-30,28.9480
2006-12-01,28.8720
2006-12-04,28.9181
2006-12-05,29.0689
2006-12-06,30.3972
2006-12-07,31.8799
2006-12-08,32.5161
2006-12-11,33.2963
2006-12-12,33.7415
2006-12-13,34.2051
2006-12-14,34.6479
2006-12-15,34.7059
2006-12-18,35.8328
2006-12-19,35.4478
2006-12-20,36.4998
2006-12-21,36.4922
2006-12-22,36.1864
2006-12-25,36.0232
2006-12-26,35.9060
2006-12-27,37.1707
2006-12-28,39.6312
2006-12-29,40.9104
2007-01-09,37.1398
2007-01-10,36.3095
2007-01-11,38.4028
2007-01-12,38.4941
2007-01-15,39.6313
2007-01-16,41.8593
2007-01-17,40.7503
2007-01-18,40.0406
2007-01-19,39.9982
2007-01-22,40.9381
2007-01-23,40.5091
2007-01-24,40.4360
