date,XLB.US
2017-01-03,20.7110
2017-01-04,21.0134
2017-01-05,20.9513
2017-01-06,20.9720
2017-01-09,20.9678
2017-01-10,20.9803
2017-01-11,21.1501
2017-01-12,21.1087
2017-01-13,21.0755
2017-01-17,20.9803
2017-01-18,21.1128
2017-01-19,20.9803
2017-01-20,21.1667
2017-01-23,21.2081
2017-01-24,21.7550
2017-01-25,21.9000
2017-01-26,21.9580
2017-01-27,21.8793
2017-01-30,21.6556
2017-01-31,21.5271
2017-02-01,21.6349
2017-02-02,21.5396
2017-02-03,21.5769
2017-02-06,21.5188
2017-02-07,21.3490
2017-02-08,21.3987
2017-02-09,21.3904
2017-02-10,21.5851
2017-02-13,21.7633
2017-02-14,21.7591
2017-02-15,21.7301
2017-02-16,21.7301
2017-02-17,21.6680
2017-02-21,21.7384
2017-02-22,21.7964
2017-02-23,21.6763
2017-02-24,21.7219
2017-02-27,21.6680
2017-02-28,21.6473
2017-03-01,22.0699
2017-03-02,21.8337
2017-03-03,21.8171
2017-03-06,21.6763
2017-03-07,21.5561
2017-03-08,21.5561
2017-03-09,21.4898
2017-03-10,21.5893
2017-03-13,21.6514
2017-03-14,21.4650
2017-03-15,21.8089
2017-03-16,21.6597
2017-03-17,21.7528
2017-03-20,21.8699
2017-03-21,21.5076
2017-03-22,21.5699
2017-03-23,21.6614
2017-03-24,21.4702
2017-03-27,21.5159
2017-03-28,21.7653
2017-03-29,21.7819
2017-03-30,21.7861
2017-03-31,21.7819
2017-04-03,21.6988
2017-04-04,21.7778
2017-04-05,21.7611
2017-04-06,21.8775
2017-04-07,21.8567
2017-04-10,21.8609
2017-04-11,21.8027
2017-04-12,21.5325
2017-04-13,21.3247
2017-04-17,21.4785
2017-04-18,21.4536
2017-04-19,21.4827
2017-04-20,21.7196
2017-04-21,21.6946
2017-04-24,21.9440
2017-04-25,22.2973
2017-04-26,22.2931
2017-04-27,22.2432
2017-04-28,22.0562
2017-05-01,22.0687
2017-05-02,22.1061
2017-05-03,21.8900
2017-05-04,21.9149
2017-05-05,22.2266
2017-05-08,22.0479
2017-05-09,21.8817
2017-05-10,21.9523
2017-05-11,21.9191
2017-05-12,21.8650
2017-05-15,22.0562
2017-05-16,22.0604
2017-05-17,21.5949
2017-05-18,21.6074
2017-05-19,21.7944
2017-05-22,21.8193
2017-05-23,21.8359
2017-05-24,21.9814
2017-05-25,21.9565
2017-05-26,21.9980
2017-05-30,21.9939
2017-05-31,22.0604
2017-06-01,22.3264
