date,XLC.US
2018-06-19,46.2012
2018-06-20,46.7746
2018-06-21,46.4879
2018-06-22,46.6914
2018-06-25,45.7296
2018-06-26,45.8054
2018-06-27,45.4059
2018-06-28,45.8591
2018-06-29,45.8036
2018-07-02,46.0903
2018-07-03,45.5262
2018-07-05,46.2197
2018-07-06,46.9503
2018-07-09,47.2185
2018-07-10,47.1990
2018-07-11,47.1352
2018-07-12,47.8751
2018-07-13,47.8011
2018-07-16,47.6624
2018-07-17,47.6716
2018-07-18,47.5329
2018-07-19,47.2000
2018-07-20,47.0428
2018-07-23,47.2370
2018-07-24,47.5699
2018-07-25,47.9120
2018-07-26,46.1051
2018-07-27,45.2302
2018-07-30,44.5182
2018-07-31,44.8141
2018-08-01,44.6291
2018-08-02,44.9251
2018-08-03,45.2302
2018-08-06,45.6834
2018-08-07,45.7388
2018-08-08,45.7019
2018-08-09,45.9515
2018-08-10,45.5631
2018-08-13,45.4984
2018-08-14,45.8221
2018-08-15,45.1840
2018-08-16,45.1655
2018-08-17,44.9528
2018-08-20,45.0268
2018-08-21,45.3042
2018-08-22,45.2487
2018-08-23,45.0638
2018-08-24,45.7204
2018-08-27,46.1642
2018-08-28,45.9608
2018-08-29,46.2197
2018-08-30,45.9330
2018-08-31,45.4799
2018-09-04,44.9158
2018-09-05,44.3332
2018-09-06,44.0003
2018-09-07,44.0928
2018-09-10,44.1852
2018-09-11,44.6291
2018-09-12,44.4997
2018-09-13,44.8141
2018-09-14,44.7309
2018-09-17,44.2962
2018-09-18,44.6106
2018-09-19,44.7309
2018-09-20,45.2210
2018-09-21,45.0188
2018-09-24,45.0188
2018-09-25,45.0374
2018-09-26,45.2136
2018-09-27,45.6030
2018-09-28,45.4361
2018-10-01,45.2507
2018-10-02,45.2136
2018-10-03,45.4176
2018-10-04,44.7685
2018-10-05,44.3419
2018-10-08,44.1936
2018-10-09,44.1657
2018-10-10,42.4225
2018-10-11,42.0609
2018-10-12,42.9974
2018-10-15,42.8305
2018-10-16,43.9617
2018-10-17,44.1379
2018-10-18,43.3312
2018-10-19,43.3219
2018-10-22,43.2941
2018-10-23,43.2014
2018-10-24,41.1429
2018-10-25,42.5059
2018-10-26,41.3561
2018-10-29,40.7163
2018-10-30,41.8290
2018-10-31,42.6914
2018-11-01,42.9418
2018-11-02,42.5059
2018-11-05,42.3298
2018-11-06,42.5801
2018-11-07,43.3590
2018-11-08,42.9510
2018-11-09,42.0701
2018-11-12,41.4396
2018-11-13,41.3098
2018-11-14,41.5138
2018-11-15,41.8198
2018-11-16,41.6158
2018-11-19,40.3547
2018-11-20,39.8261
2018-11-21,40.2990
2018-11-23,39.7705
2018-11-26,40.6792
2018-11-27,40.8090
2018-11-28,41.6621
2018-11-29,41.8012
2018-11-30,41.7363
2018-12-03,41.8012
2018-12-04,40.5680
2018-12-06,41.0223
2018-12-07,40.2434
2018-12-10,40.5494
2018-12-11,40.5865
2018-12-12,41.0223
2018-12-13,40.8369
2018-12-14,40.4381
2018-12-17,39.6500
2018-12-18,39.8261
2018-12-19,38.9731
2018-12-20,38.2869
2018-12-21,37.0347
2018-12-24,36.2533
2018-12-26,38.2906
2018-12-27,38.4673
2018-12-28,38.3464
2018-12-31,38.4022
2019-01-02,38.9139
2019-01-03,38.2627
2019-01-04,39.9093
2019-01-07,40.3651
2019-01-08,41.0442
2019-01-09,41.1001
