date,XLE.US
2017-01-03,25.9149
2017-01-04,25.8604
2017-01-05,25.7958
2017-01-06,25.8196
2017-01-09,25.4454
2017-01-10,25.2140
2017-01-11,25.4862
2017-01-12,25.3807
2017-01-13,25.3059
2017-01-17,25.4624
2017-01-18,25.4045
2017-01-19,25.2650
2017-01-20,25.3603
2017-01-23,25.0915
2017-01-24,25.3671
2017-01-25,25.4998
2017-01-26,25.5202
2017-01-27,25.2548
2017-01-30,24.7921
2017-01-31,24.8023
2017-02-01,24.6186
2017-02-02,24.7581
2017-02-03,24.9725
2017-02-06,24.7615
2017-02-07,24.4111
2017-02-08,24.4689
2017-02-09,24.7445
2017-02-10,24.9316
2017-02-13,24.9793
2017-02-14,25.0609
2017-02-15,24.9622
2017-02-16,24.6220
2017-02-17,24.4859
2017-02-21,24.6526
2017-02-22,24.2784
2017-02-23,24.3805
2017-02-24,24.1525
2017-02-27,24.3600
2017-02-28,24.2852
2017-03-01,24.7717
2017-03-02,24.5370
2017-03-03,24.4927
2017-03-06,24.5472
2017-03-07,24.3294
2017-03-08,23.6966
2017-03-09,23.8531
2017-03-10,23.8191
2017-03-13,23.8225
2017-03-14,23.5537
2017-03-15,24.0777
2017-03-16,23.9075
2017-03-17,23.8901
2017-03-20,23.8716
2017-03-21,23.6882
2017-03-22,23.6539
2017-03-23,23.5581
2017-03-24,23.4657
2017-03-27,23.3562
2017-03-28,23.6882
2017-03-29,24.0133
2017-03-30,24.0065
2017-03-31,23.9243
2017-04-03,23.8833
2017-04-04,24.0578
2017-04-05,23.9825
2017-04-06,24.1742
2017-04-07,24.0818
2017-04-10,24.2632
2017-04-11,24.2666
2017-04-12,24.1639
2017-04-13,23.7224
2017-04-17,23.7737
2017-04-18,23.5513
2017-04-19,23.2056
2017-04-20,23.3185
2017-04-21,23.2021
2017-04-24,23.3391
2017-04-25,23.5376
2017-04-26,23.4588
2017-04-27,23.2021
2017-04-28,23.2193
2017-05-01,23.1542
2017-05-02,23.0379
2017-05-03,23.1029
2017-05-04,22.6785
2017-05-05,23.0379
2017-05-08,23.2021
2017-05-09,23.0105
2017-05-10,23.3151
2017-05-11,23.2672
2017-05-12,23.1885
2017-05-15,23.3699
2017-05-16,23.2535
2017-05-17,23.0242
2017-05-18,23.0173
2017-05-19,23.3014
2017-05-22,23.2501
2017-05-23,23.3048
2017-05-24,23.1816
2017-05-25,22.7606
2017-05-26,22.7983
2017-05-30,22.4937
2017-05-31,22.3978
2017-06-01,22.5382
2017-06-02,22.2780
2017-06-05,22.3191
2017-06-06,22.5826
2017-06-07,22.2643
2017-06-08,22.1993
2017-06-09,22.7332
2017-06-12,22.8941
2017-06-13,23.0652
2017-06-14,22.6477
2017-06-15,22.4765
2017-06-16,22.8484
2017-06-19,22.7037
2017-06-20,22.4142
2017-06-21,22.0524
2017-06-22,22.0386
2017-06-23,22.1868
2017-06-26,22.1385
2017-06-27,22.1041
2017-06-28,22.2247
2017-06-29,22.2729
2017-06-30,22.3729
2017-07-03,22.8036
2017-07-05,22.3418
2017-07-06,22.0937
2017-07-07,22.0593
2017-07-10,22.1316
2017-07-11,22.2522
2017-07-12,22.3143
2017-07-13,22.4039
2017-07-14,22.5383
2017-07-17,22.5107
2017-07-18,22.4039
2017-07-19,22.7313
2017-07-20,22.6623
2017-07-21,22.4383
2017-07-24,22.3970
2017-07-25,22.6796
2017-07-26,22.7037
2017-07-27,22.9346
2017-07-28,22.9070
2017-07-31,22.9587
2017-08-01,22.9553
2017-08-02,22.8691
2017-08-03,22.5486
2017-08-04,22.6210
2017-08-07,22.4487
2017-08-08,22.3970
2017-08-09,22.4177
2017-08-10,22.1799
2017-08-11,22.0351
2017-08-14,21.9697
2017-08-15,21.8869
2017-08-16,21.6767
2017-08-17,21.3700
2017-08-18,21.4768
2017-08-21,21.3666
2017-08-22,21.5079
2017-08-23,21.6009
2017-08-24,21.6147
2017-08-25,21.7112
2017-08-28,21.6147
2017-08-29,21.5871
2017-08-30,21.5975
2017-08-31,21.7009
2017-09-01,21.9111
2017-09-05,22.0317
2017-09-06,22.3901
2017-09-07,22.4314
2017-09-08,22.1937
2017-09-11,22.4039
2017-09-12,22.5417
2017-09-13,22.8243
2017-09-14,22.9346
2017-09-15,22.9889
2017-09-18,23.0866
2017-09-19,23.1809
2017-09-20,23.3380
2017-09-21,23.3450
2017-09-22,23.4637
2017-09-25,23.8024
2017-09-26,23.7919
2017-09-27,23.8932
2017-09-28,23.9141
2017-09-29,23.9106
2017-10-02,23.9037
2017-10-03,23.8792
2017-10-04,23.8618
2017-10-05,23.9700
2017-10-06,23.7675
2017-10-09,23.8164
2017-10-10,23.8373
2017-10-11,23.8932
2017-10-12,23.8059
2017-10-13,23.7919
2017-10-16,23.8443
2017-10-17,23.8583
2017-10-18,23.6907
