date,XLF.US
2017-01-03,19.7206
2017-01-04,19.8799
2017-01-05,19.6786
2017-01-06,19.7457
2017-01-09,19.6115
2017-01-10,19.6534
2017-01-11,19.7793
2017-01-12,19.6115
2017-01-13,19.7206
2017-01-17,19.2508
2017-01-18,19.4102
2017-01-19,19.3263
2017-01-20,19.4186
2017-01-23,19.2928
2017-01-24,19.5360
2017-01-25,19.8632
2017-01-26,19.9135
2017-01-27,19.8380
2017-01-30,19.6786
2017-01-31,19.5528
2017-02-01,19.5780
2017-02-02,19.5025
2017-02-03,19.8967
2017-02-06,19.8044
2017-02-07,19.7541
2017-02-08,19.6199
2017-02-09,19.8883
2017-02-10,19.9470
2017-02-13,20.1735
2017-02-14,20.4084
2017-02-15,20.5678
2017-02-16,20.5174
2017-02-17,20.5258
2017-02-21,20.6265
2017-02-22,20.6432
2017-02-23,20.6432
2017-02-24,20.4839
2017-02-27,20.5929
2017-02-28,20.5845
2017-03-01,21.1717
2017-03-02,20.8446
2017-03-03,20.9452
2017-03-06,20.7858
2017-03-07,20.7271
2017-03-08,20.7355
2017-03-09,20.8110
2017-03-10,20.7942
2017-03-13,20.8446
2017-03-14,20.7858
2017-03-15,20.7523
2017-03-16,20.7858
2017-03-17,20.5821
2017-03-20,20.4138
2017-03-21,19.8413
2017-03-22,19.7993
2017-03-23,19.8413
2017-03-24,19.8161
2017-03-27,19.7403
2017-03-28,20.0097
2017-03-29,19.8834
2017-03-30,20.1444
2017-03-31,19.9760
2017-04-03,19.9339
2017-04-04,19.9087
2017-04-05,19.7572
2017-04-06,19.8834
2017-04-07,19.7993
2017-04-10,19.7487
2017-04-11,19.6898
2017-04-12,19.5299
2017-04-13,19.2773
2017-04-17,19.6141
2017-04-18,19.4289
2017-04-19,19.3699
2017-04-20,19.6982
2017-04-21,19.4962
2017-04-24,19.9339
2017-04-25,20.1107
2017-04-26,20.0939
2017-04-27,20.0013
2017-04-28,19.8077
2017-05-01,19.9339
2017-05-02,19.9087
2017-05-03,20.0686
2017-05-04,20.1023
2017-05-05,20.0686
2017-05-08,20.0518
2017-05-09,19.9760
2017-05-10,20.0434
2017-05-11,19.9171
2017-05-12,19.8329
2017-05-15,19.9844
2017-05-16,20.0434
2017-05-17,19.4120
2017-05-18,19.4878
2017-05-19,19.6561
2017-05-22,19.7067
2017-05-23,19.8582
2017-05-24,19.8498
2017-05-25,19.8834
2017-05-26,19.8750
2017-05-30,19.7403
2017-05-31,19.5720
2017-06-01,19.8161
2017-06-02,19.7403
2017-06-05,19.7740
2017-06-06,19.6898
2017-06-07,19.8413
2017-06-08,20.0686
2017-06-09,20.4474
2017-06-12,20.4895
2017-06-13,20.5990
2017-06-14,20.6326
2017-06-15,20.5485
2017-06-16,20.5256
2017-06-19,20.7369
2017-06-20,20.5594
2017-06-21,20.3904
2017-06-22,20.2637
2017-06-23,20.1876
2017-06-26,20.2975
2017-06-27,20.3989
2017-06-28,20.7200
2017-06-29,20.8637
2017-06-30,20.8468
2017-07-03,21.1510
2017-07-05,21.1848
2017-07-06,21.0242
2017-07-07,21.1679
2017-07-10,21.1425
2017-07-11,20.9566
2017-07-12,21.0242
2017-07-13,21.1510
2017-07-14,21.0580
2017-07-17,20.9904
2017-07-18,20.9566
2017-07-19,20.9651
2017-07-20,20.9566
2017-07-21,20.9566
2017-07-24,21.0496
2017-07-25,21.3115
2017-07-26,21.1679
2017-07-27,21.0496
2017-07-28,21.0496
2017-07-31,21.2017
2017-08-01,21.3538
