date,XLI.US
2017-01-03,53.3105
2017-01-04,53.6256
2017-01-05,53.4723
2017-01-06,53.7789
2017-01-09,53.3616
2017-01-10,53.5830
2017-01-11,53.8641
2017-01-12,53.6427
2017-01-13,53.8471
2017-01-17,53.4297
2017-01-18,53.6342
2017-01-19,54.0260
2017-01-20,54.0345
2017-01-23,53.7364
2017-01-24,54.2730
2017-01-25,54.8436
2017-01-26,54.9714
2017-01-27,54.9288
2017-01-30,54.4603
2017-01-31,53.9834
2017-02-01,53.8897
2017-02-02,53.7875
2017-02-03,54.1878
2017-02-06,54.2644
2017-02-07,54.3581
2017-02-08,54.2815
2017-02-09,54.6988
2017-02-10,55.1332
2017-02-13,55.6868
2017-02-14,55.7124
2017-02-15,56.0105
2017-02-16,56.0275
2017-02-17,56.1212
2017-02-21,56.4023
2017-02-22,56.2490
2017-02-23,55.8827
2017-02-24,56.1212
2017-02-27,56.3257
2017-02-28,56.0957
2017-03-01,57.0411
2017-03-02,56.4279
2017-03-03,56.4875
2017-03-06,56.3512
2017-03-07,56.1894
2017-03-08,55.9935
2017-03-09,55.7380
2017-03-10,56.0786
2017-03-13,56.0446
2017-03-14,55.5165
2017-03-15,56.1468
2017-03-16,55.8913
2017-03-17,56.1967
2017-03-20,56.0940
2017-03-21,55.2384
2017-03-22,55.4352
2017-03-23,55.3582
2017-03-24,55.2128
2017-03-27,55.0160
2017-03-28,55.5978
2017-03-29,55.5892
2017-03-30,55.8973
2017-03-31,55.6662
2017-04-03,55.5465
2017-04-04,55.6919
2017-04-05,55.5122
2017-04-06,55.6662
2017-04-07,55.7261
2017-04-10,55.8630
2017-04-11,55.9400
2017-04-12,55.1700
2017-04-13,54.7764
2017-04-17,55.3753
2017-04-18,55.1957
2017-04-19,55.2470
2017-04-20,55.9144
2017-04-21,55.9657
2017-04-24,56.7614
2017-04-25,57.0352
2017-04-26,57.0438
2017-04-27,57.0267
2017-04-28,56.7614
2017-05-01,56.5903
2017-05-02,56.8641
2017-05-03,56.9069
2017-05-04,56.9668
2017-05-05,57.2577
2017-05-08,57.1037
2017-05-09,57.1807
2017-05-10,57.0609
2017-05-11,57.0438
