date,XLK.US
2017-01-03,22.1491
2017-01-04,22.2263
2017-01-05,22.2626
2017-01-06,22.4260
2017-01-09,22.4215
2017-01-10,22.4260
2017-01-11,22.5305
2017-01-12,22.4760
2017-01-13,22.5441
2017-01-17,22.4578
2017-01-18,22.5168
2017-01-19,22.4851
2017-01-20,22.6076
2017-01-23,22.6485
2017-01-24,22.7892
2017-01-25,23.0071
2017-01-26,22.9436
2017-01-27,23.0344
2017-01-30,22.8482
2017-01-31,22.7347
2017-02-01,22.9072
2017-02-02,22.8618
2017-02-03,23.0117
2017-02-06,23.0253
2017-02-07,23.1161
2017-02-08,23.1569
2017-02-09,23.2296
2017-02-10,23.2977
2017-02-13,23.4021
2017-02-14,23.4792
2017-02-15,23.5564
2017-02-16,23.6109
2017-02-17,23.6926
2017-02-21,23.8152
2017-02-22,23.8424
2017-02-23,23.8379
2017-02-24,23.8924
2017-02-27,23.8787
2017-02-28,23.7652
2017-03-01,24.1012
2017-03-02,23.9423
2017-03-03,23.9968
2017-03-06,23.9605
2017-03-07,23.9605
2017-03-08,23.9877
2017-03-09,23.9832
2017-03-10,24.1103
2017-03-13,24.1330
2017-03-14,24.0785
2017-03-15,24.2419
2017-03-16,24.2555
2017-03-17,24.3079
2017-03-20,24.3219
2017-03-21,23.9753
2017-03-22,24.1257
2017-03-23,24.0619
2017-03-24,24.0801
2017-03-27,24.0801
2017-03-28,24.2533
2017-03-29,24.2943
2017-03-30,24.3398
2017-03-31,24.2943
2017-04-03,24.2715
2017-04-04,24.2897
2017-04-05,24.1895
2017-04-06,24.1940
2017-04-07,24.1803
2017-04-10,24.1348
2017-04-11,24.0436
2017-04-12,23.9616
2017-04-13,23.8659
2017-04-17,24.0846
2017-04-18,24.0801
2017-04-19,24.0619
2017-04-20,24.2806
2017-04-21,24.2305
2017-04-24,24.5176
2017-04-25,24.6452
2017-04-26,24.6178
2017-04-27,24.7181
2017-04-28,24.7819
2017-05-01,24.9687
2017-05-02,25.0234
2017-05-03,24.9778
2017-05-04,24.9596
2017-05-05,25.0508
2017-05-08,25.1601
2017-05-09,25.1920
2017-05-10,25.2877
2017-05-11,25.2558
2017-05-12,25.3196
2017-05-15,25.4609
2017-05-16,25.5794
2017-05-17,24.8821
2017-05-18,25.0280
2017-05-19,25.1738
2017-05-22,25.3743
2017-05-23,25.4199
2017-05-24,25.5247
2017-05-25,25.7070
2017-05-26,25.6933
2017-05-30,25.8027
2017-05-31,25.7617
2017-06-01,25.8255
2017-06-02,26.0624
2017-06-05,26.0852
2017-06-06,26.0351
2017-06-07,26.1171
2017-06-08,26.1764
2017-06-09,25.5293
2017-06-12,25.3789
2017-06-13,25.5612
2017-06-14,25.4381
2017-06-15,25.3242
2017-06-16,25.2798
2017-06-19,25.6550
2017-06-20,25.4491
2017-06-21,25.5909
2017-06-22,25.6001
2017-06-23,25.7602
2017-06-26,25.6230
2017-06-27,25.2020
2017-06-28,25.5177
2017-06-29,25.0602
2017-06-30,25.0373
2017-07-03,24.8634
2017-07-05,25.1105
2017-07-06,24.8817
2017-07-07,25.1700
2017-07-10,25.3530
2017-07-11,25.4079
2017-07-12,25.7374
2017-07-13,25.7877
2017-07-14,26.0165
2017-07-17,26.0210
2017-07-18,26.1400
2017-07-19,26.2727
2017-07-20,26.3276
2017-07-21,26.2956
2017-07-24,26.3596
2017-07-25,26.3093
2017-07-26,26.4100
2017-07-27,26.3093
2017-07-28,26.2818
2017-07-31,26.1537
2017-08-01,26.2864
2017-08-02,26.3596
2017-08-03,26.3001
2017-08-04,26.3596
2017-08-07,26.5198
2017-08-08,26.4832
2017-08-09,26.4694
2017-08-10,25.9478
2017-08-11,26.1263
2017-08-14,26.5427
2017-08-15,26.5838
2017-08-16,26.6616
2017-08-17,26.1400
2017-08-18,26.1126
2017-08-21,26.1034
2017-08-22,26.4923
2017-08-23,26.4283
2017-08-24,26.4054
2017-08-25,26.4008
2017-08-28,26.4511
2017-08-29,26.5655
2017-08-30,26.7577
2017-08-31,26.9178
2017-09-01,26.8950
2017-09-05,26.6570
2017-09-06,26.6799
2017-09-07,26.7714
2017-09-08,26.5518
2017-09-11,26.9270
2017-09-12,26.9911
2017-09-13,26.9544
2017-09-14,26.8629
2017-09-15,26.9727
2017-09-18,26.9956
2017-09-19,27.1150
2017-09-20,27.0048
2017-09-21,26.8579
2017-09-22,26.8717
2017-09-25,26.5548
2017-09-26,26.6513
2017-09-27,26.9222
2017-09-28,26.9543
2017-09-29,27.1380
2017-10-02,27.1793
2017-10-03,27.2436
2017-10-04,27.2252
2017-10-05,27.4870
2017-10-06,27.5283
2017-10-09,27.5972
2017-10-10,27.6247
2017-10-11,27.7166
2017-10-12,27.6477
2017-10-13,27.7809
2017-10-16,27.8819
2017-10-17,27.8819
2017-10-18,27.9508
2017-10-19,27.8681
2017-10-20,28.0564
2017-10-23,27.9232
2017-10-24,28.0013
2017-10-25,27.8497
2017-10-26,27.9645
2017-10-27,28.7176
2017-10-30,28.7819
2017-10-31,28.9059
2017-11-01,28.9105
2017-11-02,28.9242
2017-11-03,29.1538
2017-11-06,29.2181
2017-11-07,29.2319
2017-11-08,29.3926
2017-11-09,29.1584
2017-11-10,29.1584
2017-11-13,29.1492
2017-11-14,29.0895
2017-11-15,28.8737
2017-11-16,29.2778
