date,XLP.US
2017-01-03,40.2229
2017-01-04,40.2229
2017-01-05,40.3546
2017-01-06,40.3934
2017-01-09,40.0679
2017-01-10,39.8664
2017-01-11,39.9439
2017-01-12,39.9051
2017-01-13,39.9284
2017-01-17,40.4941
2017-01-18,40.6336
2017-01-19,40.4864
2017-01-20,40.7499
2017-01-23,40.7344
2017-01-24,41.0056
2017-01-25,40.9979
2017-01-26,40.8196
2017-01-27,40.5949
2017-01-30,40.5639
2017-01-31,40.7576
2017-02-01,40.4399
2017-02-02,40.8119
2017-02-03,41.0754
2017-02-06,40.8506
2017-02-07,41.1839
2017-02-08,41.3544
2017-02-09,41.5249
2017-02-10,41.5559
2017-02-13,41.5559
2017-02-14,41.5636
2017-02-15,41.9434
2017-02-16,41.9976
2017-02-17,42.2069
2017-02-21,42.5866
2017-02-22,42.5944
2017-02-23,42.6951
2017-02-24,42.8424
2017-02-27,42.6486
2017-02-28,42.7029
2017-03-01,42.9044
2017-03-02,42.8966
2017-03-03,42.7339
2017-03-06,42.5479
2017-03-07,42.4936
2017-03-08,42.4006
2017-03-09,42.4704
2017-03-10,42.6641
2017-03-13,42.6951
2017-03-14,42.5711
2017-03-15,42.8889
2017-03-16,42.9509
2017-03-17,42.8340
2017-03-20,42.9197
2017-03-21,42.8808
2017-03-22,42.7951
2017-03-23,42.7016
2017-03-24,42.6159
2017-03-27,42.5769
2017-03-28,42.6548
2017-03-29,42.7327
2017-03-30,42.6470
2017-03-31,42.5224
2017-04-03,42.4523
2017-04-04,42.5769
2017-04-05,42.4990
2017-04-06,42.4990
2017-04-07,42.6159
2017-04-10,42.7405
2017-04-11,42.7561
2017-04-12,42.9197
2017-04-13,42.7249
2017-04-17,43.0288
2017-04-18,43.2236
2017-04-19,43.0600
2017-04-20,42.9743
2017-04-21,42.8496
2017-04-24,43.2391
2017-04-25,43.4105
2017-04-26,43.0600
2017-04-27,43.0054
2017-04-28,42.9898
2017-05-01,42.8262
2017-05-02,42.5380
2017-05-03,42.5769
2017-05-04,42.9041
2017-05-05,43.0210
2017-05-08,43.0054
2017-05-09,42.8496
2017-05-10,42.8808
2017-05-11,42.9431
2017-05-12,42.8184
2017-05-15,42.9587
2017-05-16,42.9197
2017-05-17,42.8574
2017-05-18,42.8886
2017-05-19,43.1223
2017-05-22,43.3638
2017-05-23,43.4105
2017-05-24,43.5819
2017-05-25,43.8546
2017-05-26,44.0182
2017-05-30,44.0026
2017-05-31,44.1273
2017-06-01,44.4857
2017-06-02,44.6181
2017-06-05,44.6649
2017-06-06,44.5558
2017-06-07,44.5402
2017-06-08,44.2052
2017-06-09,44.1507
2017-06-12,44.1429
2017-06-13,44.2130
2017-06-14,44.4935
2017-06-15,44.3922
2017-06-16,43.9258
2017-06-19,44.1378
2017-06-20,43.9651
2017-06-21,43.8395
2017-06-22,43.5490
2017-06-23,43.5647
2017-06-26,43.7374
2017-06-27,43.3606
2017-06-28,43.5176
2017-06-29,43.0544
2017-06-30,43.1329
2017-07-03,43.0936
2017-07-05,43.0622
2017-07-06,42.8189
2017-07-07,42.7953
2017-07-10,42.4970
2017-07-11,42.3792
2017-07-12,42.6147
2017-07-13,42.6226
2017-07-14,42.9602
2017-07-17,43.0073
