date,XLRE.US
2017-01-03,22.4437
2017-01-04,22.7275
2017-01-05,22.8439
2017-01-06,22.8439
2017-01-09,22.6984
2017-01-10,22.4146
2017-01-11,22.2909
2017-01-12,22.3782
2017-01-13,22.3273
2017-01-17,22.5092
2017-01-18,22.5601
2017-01-19,22.3419
2017-01-20,22.4801
2017-01-23,22.6183
2017-01-24,22.6256
2017-01-25,22.4874
2017-01-26,22.4728
2017-01-27,22.2837
2017-01-30,22.1600
2017-01-31,22.3419
2017-02-01,22.0945
2017-02-02,22.3564
2017-02-03,22.5019
2017-02-06,22.3637
2017-02-07,22.3200
2017-02-08,22.5092
2017-02-09,22.6038
2017-02-10,22.7566
2017-02-13,22.8657
2017-02-14,22.7493
2017-02-15,22.6838
2017-02-16,22.7784
2017-02-17,22.8439
2017-02-21,23.1567
2017-02-22,23.0694
2017-02-23,23.2222
2017-02-24,23.3386
2017-02-27,23.4550
2017-02-28,23.3822
2017-03-01,23.3240
2017-03-02,23.2513
2017-03-03,23.1785
2017-03-06,23.0839
2017-03-07,23.0039
2017-03-08,22.6620
2017-03-09,22.3710
2017-03-10,22.3491
2017-03-13,22.3782
2017-03-14,22.3491
2017-03-15,22.7784
2017-03-16,22.7275
2017-03-17,22.7697
2017-03-20,22.7917
2017-03-21,22.7551
2017-03-22,22.8063
2017-03-23,22.9747
2017-03-24,22.9527
2017-03-27,22.7697
2017-03-28,22.9015
2017-03-29,22.9820
2017-03-30,23.0333
2017-03-31,23.1358
2017-04-03,23.1651
2017-04-04,23.0992
2017-04-05,23.1358
2017-04-06,23.2676
2017-04-07,23.2968
2017-04-10,23.4579
2017-04-11,23.5677
2017-04-12,23.5311
2017-04-13,23.4799
2017-04-17,23.7508
2017-04-18,23.8093
2017-04-19,23.7581
2017-04-20,23.7508
2017-04-21,23.6702
2017-04-24,23.4360
2017-04-25,23.4872
2017-04-26,23.2895
2017-04-27,23.3042
2017-04-28,23.1724
2017-05-01,23.3188
2017-05-02,23.3261
2017-05-03,23.0406
2017-05-04,23.0626
2017-05-05,23.2456
2017-05-08,23.1211
2017-05-09,23.0333
2017-05-10,23.1577
2017-05-11,23.0479
2017-05-12,22.9601
2017-05-15,23.0626
2017-05-16,22.9454
2017-05-17,23.0918
2017-05-18,23.1358
2017-05-19,23.2676
2017-05-22,23.3261
2017-05-23,23.3554
2017-05-24,23.4872
2017-05-25,23.5751
2017-05-26,23.4286
2017-05-30,23.3627
2017-05-31,23.3261
2017-06-01,23.3993
2017-06-02,23.6043
2017-06-05,23.5458
2017-06-06,23.4360
2017-06-07,23.5604
2017-06-08,23.4506
2017-06-09,23.5604
2017-06-12,23.7142
2017-06-13,23.7727
2017-06-14,23.8460
2017-06-15,23.9631
2017-06-16,23.9497
2017-06-19,23.9644
2017-06-20,23.9201
2017-06-21,23.8685
2017-06-22,23.8832
2017-06-23,23.9866
2017-06-26,24.0973
2017-06-27,24.0014
2017-06-28,24.0309
2017-06-29,23.7873
2017-06-30,23.7725
2017-07-03,23.9940
2017-07-05,23.7060
2017-07-06,23.2778
2017-07-07,23.4107
2017-07-10,23.2262
2017-07-11,23.1893
2017-07-12,23.4919
2017-07-13,23.5362
2017-07-14,23.7725
2017-07-17,23.8242
2017-07-18,23.7946
2017-07-19,23.9718
2017-07-20,23.9054
2017-07-21,23.9497
2017-07-24,23.9349
2017-07-25,23.9349
2017-07-26,24.1342
2017-07-27,24.1121
2017-07-28,24.0973
2017-07-31,24.0604
2017-08-01,24.1638
2017-08-02,24.0457
2017-08-03,23.9866
2017-08-04,24.0604
2017-08-07,24.0457
2017-08-08,23.9349
2017-08-09,23.9644
2017-08-10,23.7503
2017-08-11,23.5953
2017-08-14,23.9866
2017-08-15,23.9423
2017-08-16,24.0161
2017-08-17,23.8463
2017-08-18,23.6691
2017-08-21,23.9128
2017-08-22,23.8980
2017-08-23,24.1416
