date,XLU.US
2017-01-03,17.9755
2017-01-04,18.0422
2017-01-05,18.0608
2017-01-06,18.1164
2017-01-09,17.8790
2017-01-10,17.8234
2017-01-11,18.0089
2017-01-12,18.0237
2017-01-13,17.9977
2017-01-17,18.1944
2017-01-18,18.1721
2017-01-19,18.0126
2017-01-20,18.0460
2017-01-23,17.9532
2017-01-24,17.9495
2017-01-25,17.9495
2017-01-26,17.9569
2017-01-27,17.9532
2017-01-30,17.9680
2017-01-31,18.2463
2017-02-01,17.9309
2017-02-02,18.1202
2017-02-03,18.1424
2017-02-06,18.1053
2017-02-07,18.1498
2017-02-08,18.3279
2017-02-09,18.1721
2017-02-10,18.2871
2017-02-13,18.3762
2017-02-14,18.2426
2017-02-15,18.1981
2017-02-16,18.3799
2017-02-17,18.3910
2017-02-21,18.5839
2017-02-22,18.6618
2017-02-23,18.8548
2017-02-24,19.1404
2017-02-27,19.0328
2017-02-28,19.2072
2017-03-01,19.0366
2017-03-02,19.1738
2017-03-03,19.1145
2017-03-06,19.0774
2017-03-07,19.0662
2017-03-08,18.7917
2017-03-09,18.7509
2017-03-10,18.9067
2017-03-13,18.9624
2017-03-14,18.9438
2017-03-15,19.2480
2017-03-16,19.0366
2017-03-17,19.1513
2017-03-20,19.0294
2017-03-21,19.2934
2017-03-22,19.3868
2017-03-23,19.3270
2017-03-24,19.3980
2017-03-27,19.3233
2017-03-28,19.3083
2017-03-29,19.2560
2017-03-30,19.1065
2017-03-31,19.1812
2017-04-03,19.1775
2017-04-04,19.2373
2017-04-05,19.3457
2017-04-06,19.2971
2017-04-07,19.2149
2017-04-10,19.2485
2017-04-11,19.2410
2017-04-12,19.3831
2017-04-13,19.3195
2017-04-17,19.4055
2017-04-18,19.4504
2017-04-19,19.3158
2017-04-20,19.2410
2017-04-21,19.3382
2017-04-24,19.4392
2017-04-25,19.4130
2017-04-26,19.3532
2017-04-27,19.4205
2017-04-28,19.3270
2017-05-01,19.2111
2017-05-02,19.2336
2017-05-03,19.1663
2017-05-04,19.2336
2017-05-05,19.3382
2017-05-08,19.3308
2017-05-09,19.1887
2017-05-10,19.2186
2017-05-11,19.2448
2017-05-12,19.3382
2017-05-15,19.4205
2017-05-16,19.2784
2017-05-17,19.3270
2017-05-18,19.3943
2017-05-19,19.4691
2017-05-22,19.6373
2017-05-23,19.6896
2017-05-24,19.8018
2017-05-25,19.9625
2017-05-26,19.9625
2017-05-30,20.0261
2017-05-31,20.1270
2017-06-01,20.2691
2017-06-02,20.2915
2017-06-05,20.2280
2017-06-06,20.1831
2017-06-07,20.2504
2017-06-08,20.0822
