date,XLV.US
2017-01-03,59.5699
2017-01-04,60.0390
2017-01-05,60.3461
2017-01-06,60.5167
2017-01-09,60.7726
2017-01-10,60.9858
2017-01-11,60.3717
2017-01-12,60.4314
2017-01-13,60.4911
2017-01-17,60.1840
2017-01-18,60.1073
2017-01-19,59.7234
2017-01-20,59.5699
2017-01-23,59.3226
2017-01-24,58.9131
2017-01-25,59.4676
2017-01-26,59.0070
2017-01-27,59.4931
2017-01-30,59.2031
2017-01-31,60.1499
2017-02-01,60.6702
2017-02-02,60.6532
2017-02-03,60.9176
2017-02-06,60.9858
2017-02-07,61.0455
2017-02-08,60.9517
2017-02-09,61.1735
2017-02-10,61.2929
2017-02-13,61.6682
2017-02-14,62.1543
2017-02-15,62.8282
2017-02-16,62.7429
2017-02-17,62.8282
2017-02-21,63.1096
2017-02-22,63.0158
2017-02-23,63.4764
2017-02-24,63.7835
2017-02-27,64.0905
2017-02-28,63.9626
2017-03-01,64.6023
2017-03-02,64.3976
2017-03-03,64.6535
2017-03-06,64.4061
2017-03-07,63.9541
2017-03-08,64.2099
2017-03-09,64.5597
2017-03-10,64.8070
2017-03-13,64.7558
2017-03-14,64.5170
2017-03-15,65.3273
2017-03-16,64.6961
2017-03-17,64.3400
2017-03-20,64.2338
2017-03-21,63.7408
2017-03-22,63.7579
2017-03-23,63.5610
2017-03-24,63.5953
2017-03-27,63.7665
2017-03-28,63.8093
2017-03-29,63.8264
2017-03-30,63.8350
2017-03-31,63.6552
2017-04-03,63.7065
2017-04-04,63.6723
2017-04-05,63.4754
2017-04-06,63.5867
2017-04-07,63.6980
2017-04-10,63.5781
2017-04-11,63.4925
2017-04-12,63.4925
2017-04-13,63.3299
2017-04-17,63.5610
2017-04-18,62.8676
2017-04-19,63.0560
2017-04-20,63.4497
2017-04-21,63.0731
2017-04-24,63.6980
2017-04-25,63.9719
2017-04-26,64.3229
2017-04-27,64.4599
2017-04-28,64.6311
2017-05-01,64.7766
2017-05-02,64.9564
2017-05-03,64.6396
2017-05-04,65.0677
2017-05-05,65.0334
2017-05-08,64.6311
2017-05-09,64.7081
2017-05-10,64.5198
2017-05-11,64.5540
2017-05-12,64.4427
2017-05-15,64.8622
2017-05-16,64.6139
2017-05-17,63.7665
2017-05-18,64.0490
2017-05-19,64.2287
2017-05-22,64.3999
2017-05-23,64.6139
2017-05-24,64.7766
2017-05-25,65.0848
2017-05-26,64.9649
2017-05-30,64.8708
2017-05-31,65.1276
2017-06-01,65.8466
2017-06-02,66.2747
2017-06-05,66.0863
2017-06-06,65.9237
2017-06-07,66.1035
2017-06-08,65.9151
2017-06-09,66.3603
2017-06-12,66.2747
2017-06-13,66.4116
2017-06-14,66.7284
2017-06-15,66.6599
2017-06-16,66.7699
2017-06-19,67.4660
2017-06-20,67.6895
2017-06-21,68.5489
2017-06-22,69.2623
2017-06-23,69.1591
2017-06-26,69.0904
2017-06-27,68.4630
2017-06-28,68.8240
2017-06-29,68.1966
2017-06-30,68.1020
2017-07-03,68.2223
2017-07-05,68.6263
2017-07-06,67.7411
2017-07-07,68.0848
2017-07-10,67.9559
2017-07-11,67.8786
2017-07-12,68.3427
2017-07-13,68.4028
2017-07-14,68.8669
2017-07-17,68.6177
2017-07-18,68.6693
2017-07-19,69.2279
2017-07-20,69.6834
2017-07-21,69.6060
2017-07-24,69.5803
2017-07-25,69.0818
2017-07-26,68.8497
2017-07-27,68.3770
2017-07-28,68.7208
2017-07-31,68.6607
2017-08-01,68.5060
2017-08-02,68.3513
2017-08-03,68.4630
2017-08-04,68.3083
2017-08-07,68.4544
2017-08-08,68.1364
2017-08-09,68.2138
2017-08-10,67.3629
2017-08-11,67.5520
2017-08-14,68.0075
2017-08-15,68.0075
2017-08-16,68.1966
2017-08-17,67.3457
2017-08-18,67.0363
2017-08-21,67.3371
2017-08-22,68.1536
2017-08-23,67.6379
2017-08-24,67.8356
2017-08-25,67.8528
2017-08-28,68.2138
2017-08-29,68.3427
2017-08-30,68.6950
2017-08-31,69.8639
2017-09-01,69.8123
2017-09-05,69.5115
2017-09-06,69.8467
2017-09-07,70.6202
2017-09-08,70.9382
2017-09-11,71.4882
2017-09-12,71.6429
2017-09-13,71.3765
2017-09-14,71.4710
2017-09-15,71.2424
2017-09-18,71.2252
2017-09-19,70.6645
2017-09-20,70.7335
2017-09-21,70.3712
2017-09-22,70.3712
2017-09-25,70.1642
2017-09-26,70.0520
2017-09-27,70.0262
2017-09-28,70.0866
2017-09-29,70.5006
2017-10-02,71.2166
2017-10-03,71.1993
2017-10-04,71.5444
2017-10-05,71.5961
2017-10-06,71.5012
2017-10-09,71.0527
2017-10-10,71.2166
2017-10-11,71.3546
