date,XLY.US
2017-01-03,37.2582
2017-01-04,37.7542
2017-01-05,37.7269
2017-01-06,37.9135
2017-01-09,37.8816
2017-01-10,38.0181
2017-01-11,38.1000
2017-01-12,38.0636
2017-01-13,38.2047
2017-01-17,38.2684
2017-01-18,38.2002
2017-01-19,38.0818
2017-01-20,38.1911
2017-01-23,38.2184
2017-01-24,38.5323
2017-01-25,38.7689
2017-01-26,38.8281
2017-01-27,38.7052
2017-01-30,38.6597
2017-01-31,38.6006
2017-02-01,38.5278
2017-02-02,38.4959
2017-02-03,38.4459
2017-02-06,38.3321
2017-02-07,38.2957
2017-02-08,38.5323
2017-02-09,38.7735
2017-02-10,39.0101
2017-02-13,39.0556
2017-02-14,39.2786
2017-02-15,39.4833
2017-02-16,39.2831
2017-02-17,39.4105
2017-02-21,39.6381
2017-02-22,39.6381
2017-02-23,39.3696
2017-02-24,39.5516
2017-02-27,39.5971
2017-02-28,39.3013
2017-03-01,39.7427
2017-03-02,39.6472
2017-03-03,39.5880
2017-03-06,39.4606
2017-03-07,39.3332
2017-03-08,39.4970
2017-03-09,39.4606
2017-03-10,39.5198
2017-03-13,39.6244
2017-03-14,39.6153
2017-03-15,39.8246
2017-03-16,39.8201
2017-03-17,39.8707
2017-03-20,39.7767
2017-03-21,39.2729
2017-03-22,39.3185
2017-03-23,39.4098
2017-03-24,39.5056
2017-03-27,39.4919
2017-03-28,39.7931
2017-03-29,40.0305
2017-03-30,40.1354
2017-03-31,40.1400
2017-04-03,39.9803
2017-04-04,39.9164
2017-04-05,39.8205
2017-04-06,39.9438
2017-04-07,39.8251
2017-04-10,39.9711
2017-04-11,39.9392
2017-04-12,39.7795
2017-04-13,39.5011
2017-04-17,39.9072
2017-04-18,39.9118
2017-04-19,39.9483
2017-04-20,40.3682
2017-04-21,40.2769
2017-04-24,40.5371
2017-04-25,40.8565
2017-04-26,41.0482
2017-04-27,41.2673
2017-04-28,41.1030
2017-05-01,41.1578
2017-05-02,41.2034
2017-05-03,40.9615
2017-05-04,40.8976
2017-05-05,41.1532
2017-05-08,41.2308
2017-05-09,41.4681
2017-05-10,41.3266
2017-05-11,41.0802
2017-05-12,41.0209
2017-05-15,41.0300
2017-05-16,40.8885
2017-05-17,40.2267
2017-05-18,40.4595
2017-05-19,40.7333
2017-05-22,40.9387
2017-05-23,40.7835
2017-05-24,40.9296
2017-05-25,41.2901
2017-05-26,41.4134
2017-05-30,41.4453
2017-05-31,41.5548
2017-06-01,41.9473
2017-06-02,42.0979
2017-06-05,41.9838
2017-06-06,41.6233
2017-06-07,41.6963
2017-06-08,41.4270
2017-06-09,41.2445
2017-06-12,41.2217
2017-06-13,41.4772
2017-06-14,41.4544
2017-06-15,41.2810
2017-06-16,41.2696
2017-06-19,41.5854
2017-06-20,41.0635
2017-06-21,41.1276
2017-06-22,41.0315
2017-06-23,40.9811
2017-06-26,41.1276
2017-06-27,40.8026
2017-06-28,41.2146
2017-06-29,40.8163
2017-06-30,41.0315
2017-07-03,40.9903
2017-07-05,40.8896
2017-07-06,40.4730
2017-07-07,40.8347
2017-07-10,40.9216
2017-07-11,40.8392
2017-07-12,41.1505
2017-07-13,41.1551
2017-07-14,41.2879
2017-07-17,41.3886
2017-07-18,41.5763
